# Linear regression runtime measurements
segments	indep	rows	v0.3	v0.2	v0.1
6	10	10	4.447	9.501	1.337
6	20	10	4.688	11.60	1.874
6	40	10	6.843	17.96	3.828
6	80	10	13.28	52.94	12.98
6	160	10	35.66	181.4	51.20
6	320	10	186.2	683.8	333.4
12	10	10	2.115	4.756	0.9600
12	20	10	2.432	5.760	1.212
12	40	10	3.420	9.010	2.046
12	80	10	6.797	26.48	6.469
12	160	10	17.71	90.95	25.67
12	320	10	92.41	341.5	166.6
18	10	10	1.418	3.206	0.6197
18	20	10	1.648	3.805	1.003
18	40	10	2.335	5.994	1.183
18	80	10	4.461	17.73	4.314
18	160	10	11.90	60.58	17.14
18	320	10	61.66	227.7	111.4
24	10	10	1.197	2.383	0.3904
24	20	10	1.276	2.869	0.4769
24	40	10	1.698	4.475	1.151
24	80	10	3.363	13.35	3.263
24	160	10	8.840	45.48	13.10
24	320	10	46.18	171.7	84.59
